"%AcN","kSMeT","kSClo","kSfis","kSdim","%AcN","k Alti","furo","xipa","aeta","que","bai","fla","3OH","5OH","%AcN","Smera","Scloro","Sfiso","Ssqs"
25,1.965,3.7086,5.7571,9.1972,28,10.0103725656224,10.9435224386113,34.6685182049113,54.6518374259102,5.88758425063506,14.5614055884844,51.4700423370027,94.4817950889077,170.888230313294,5,4.9384236453202,16.1724137931034,33.6108374384236,121.315270935961
27,1.338,2.5377,3.7859,5.6307,34,4.65604911092295,5.47737256562237,14.7776883996612,20.9358425063505,2.72819305673159,6.23002116850126,22.1102540220152,38.320033869602,83.0943945808633,10,2.12487684729064,6.51477832512315,12.64039408867,35.7339901477832
31,0.9741,1.7821,2.5984,3.6694,40,2.51345808636749,3.04424809483488,7.28219475021165,9.59082133784928,1.51518204911092,3.24111261642676,11.1924894157495,18.2554530059272,32.2747840812871,15,1.24507389162562,3.20197044334975,5.45197044334975,11.8830049261084
35,0.7324,1.3455,1.8196,2.4586,46,1.52794157493649,1.8543183742591,4.06514902624896,5.12743945808639,0.964634208298052,1.96790347163421,6.51287891617271,10.0165961049958,17.1611346316681,20,0.83743842364532,1.82573891625616,2.82697044334975,5.00911330049261
39,0.56,1.0179,1.3287,1.7637,52,1.00762066045724,1.20671549534293,2.48142421676545,3.0702514817951,0.665613039796782,1.32495681625741,4.17833361558,6.08106519898391,10.0591278577477,25,0.645320197044335,1.21674876847291,1.73399014778325,2.30665024630542
,,,,,58,0.712108382726503,0.826138865368332,1.62124470787468,1.99431752751905,0.488532599491956,0.96245300592718,2.8866765453006,4.00384250635056,6.39338611346318,30,0.524014778325123,0.876354679802956,1.12931034482759,1.52894088669951
,,,,,,,,,,,,,,,35,0.464285714285714,0.690886699507389,0.853448275862069,1.0615763546798
,,,,,,,,,,,,,,,40,0.405172413793103,0.566502463054187,0.667487684729064,0.769704433497537
,,,,,,,,,,,,,,,45,0.363300492610837,0.517241379310345,0.550492610837438,0.566502463054187
,,,,,,,,,,,,,,,50,0.315270935960591,0.421182266009852,0.464285714285714,0.491379310344828
,,,,,,,,,,,,,,,55,0.226600985221675,0.386699507389162,0.415024630541872,0.432266009852217























